	Estimate	p-value
CPEB2	-1.6833192147007405	0.0
SF3B4	0.08620348963949442	0.0
IFIH1	0.6194006940341263	0.0
TARDBP	1.4915669623090895	0.0
CFTR	0.10787346462981225	0.0
ZFP36L2	0.4181867374265575	0.0
DHX9	0.17917779973987502	0.0
NONO	1.94969397431117	0.0
ACO1	-0.09049138151319136	0.0
HNRNPD	-0.013224551080204039	0.0
PUM2	1.801412229133605	0.0
SNRNP70	0.8056117599666219	0.0
PABPN1	-0.4098055282883556	0.0
RBM6	-1.534818387527412	0.0
HNRNPAB	-1.4365020791175347	0.0
ERI1	-0.38305252861527805	0.0
YBX2	-0.010989440390591243	0.0
AKAP1	-1.79096875016425	0.0
SNRPA	0.3788647509195955	0.0
NCL	-2.177968934423917	0.0
SAMD4A	-1.1266938232672647	0.0
XPO5	0.949547334651885	0.0
RBMS1	-0.28388481076722577	0.0
G3BP1	1.3971404888884191	0.0
SRP68	2.478440936147976	0.0
FUS	0.8827747182739596	0.0
RBFOX2	-0.7801400446790623	0.0
NXF1	-0.443765893618722	0.0
PABPC1	-1.1880501195204372	0.0
CPEB4	-0.11492683753245723	0.0
ZRANB2	-0.8516232484753833	0.0
RAVER1	0.13142786552346322	0.0
ZCRB1	0.5588336798379945	0.0
RBM3	0.2124384114757638	0.0
RBM14	1.575794431169793	0.0
RBM42	-0.3987369209133549	0.0
SRP14	0.29516925553195716	0.0
SF1	-2.6089719667865845	0.0
NOVA2	-2.2105556809412077	0.0
HNRNPDL	0.4606302751185455	0.0
TRA2A	0.5762759976963923	0.0
HNRNPC	-1.112464978090448	0.0
SRSF11	0.02583806095288879	0.0
SRSF5	0.46314093611284035	0.0
AGO1	-1.1500881592938155	0.0
ESRP2	1.1529476738047422	0.0
CNOT4	-0.8891411254865071	0.0
AGO2	1.2733237396642068	0.0
SUPV3L1	-0.007581684738821481	0.0
RBM24	-0.26895564352245604	0.0
GRN	1.1582139393123656	0.0
RBM8A	-1.3859724230403216	0.0
RC3H1	0.4873525861764285	0.0
SRSF4	-0.007817322967157703	0.0
HNRNPL	1.214779545230011	0.0
IGHMBP2	0.0010911761130323328	0.0
RBMX	-0.549802418898009	0.0
HNRNPA1	-0.48496936789227096	0.0
PPRC1	0.9926538650097114	0.0
MSI1	0.279611995614647	0.0
QKI	0.72890652750079	0.0
PABPC4	0.46814554376226725	0.0
TRA2B	-2.750221749735556	0.0
CELF2	0.46936651221028125	0.0
DHX58	-0.07776992351191203	0.0
OAS1	-0.007149906019316643	0.0
RBM5	1.635786362280737	0.0
SRSF9	1.5777922452301532	0.0
RBM38	0.541884067715516	0.0
ZNF638	0.3216717868605846	0.0
DDX58	0.08682104341522245	0.0
CELF5	-0.5353985399495771	0.0
PCBP1	-1.8444616655236514	0.0
(Intercept)	-0.10611523468841799	0.0
