	Estimate	p-value
CELF2	-0.29629162553902977	0.0
ESRP2	0.39728155047758273	0.0
RBMS3	0.6177116401387622	0.0
XPO5	0.08896656387145774	0.0
CSTF2	0.26549779068514584	0.0
ZFP36L2	0.14426757245104616	0.0
RBMS1	-0.08639375528111055	0.0
MSI1	-0.1433794682884379	0.0
SP1	0.4650791781110598	0.0
AKAP1	0.35087700174465764	0.0
RBM38	-0.05311936615088819	0.0
OAS1	0.009715169678302271	0.0
CFTR	0.16948874469546957	0.0
QKI	-0.4576733386368638	0.0
ESRP1	0.10080369623317514	0.0
RBM24	-0.0913568312669048	0.0
NOVA1	-0.094435983497951	0.0
(Intercept)	-6.934489760051736	0.0
