	Estimate	p-value
SF3B4	0.33278018799643283	0.0
SRSF7	1.062092913346096	0.0
IFIH1	-0.9155530499255691	0.0
HNRNPM	0.12078973507903536	0.0
ACO1	-0.22065029784332496	0.0
G3BP2	0.5896791005597157	0.0
SRSF6	-1.9866396970693474	0.0
PABPN1	0.1299476437421937	0.0
RBM6	-0.545621069835488	0.0
SRSF10	1.345235679502902	0.0
ERI1	-0.7765622148205337	0.0
TUT1	-1.4358425902335203	0.0
CMTR1	0.4231965608378479	0.0
YBX2	0.0015263013278140718	0.0
SNRPA	-0.6780784964199893	0.0
SRP68	0.8971618512023245	0.0
EIF4A3	0.042650324060123736	0.0
RAVER1	0.051426732553771205	0.0
ZCRB1	0.1173514055366248	0.0
CPEB1	0.25189664141343715	0.0
TRA2A	-0.17818192423893736	0.0
TIA1	0.49444455542234833	0.0
HNRNPH3	-1.5516655891806914	0.0
AGO1	-0.6551887182620724	0.0
ESRP2	0.15060382154487684	0.0
RBM24	-0.14666355843940845	0.0
GRN	1.193303932945379	0.0
FXR2	-0.2923388551835814	0.0
HNRNPA1	-1.6328951580622055	0.0
MSI1	0.7369300555385462	0.0
PABPC4	1.9187104593233684	0.0
YBX1	-0.22322209048142724	0.0
ZFP36	-0.0012896229098135203	0.0
SRSF9	-0.38014103509775626	0.0
ZNF638	-0.40057801098604057	0.0
RBM5	-1.471199402294865	0.0
RBM25	-0.12034488214660434	0.0
NOVA1	-0.3556142845967966	0.0
(Intercept)	12.038736108690172	0.0
