	Estimate	p-value
SRSF7	0.4617152790788056	0.0
NONO	-0.3642934778502875	0.0
ACO1	-0.1475956721935917	0.0
ESRP1	1.0506814805272615	0.0
PUM1	0.7373059914528459	0.0
RBMS3	0.05195336711382214	0.0
PUM2	0.6662285969220946	0.0
IGF2BP2	0.22312044498730782	0.0
SRSF6	-0.29142299676404404	0.0
SRSF10	0.199857639250132	0.0
EIF4B	0.03115798092074254	0.0
SF3B1	-0.033301021121862756	0.0
YTHDC1	-0.7478251653374596	0.0
AKAP1	0.43641697489006714	0.0
FUS	0.5157971078635211	0.0
SART3	-0.37707072612091824	0.0
ZRANB2	-0.15935807928348691	0.0
SRRM1	-0.11572229335889456	0.0
HNRNPDL	0.28701997967376147	0.0
TIA1	-0.6705551408287439	0.0
SRSF11	0.7935594274199167	0.0
HNRNPH3	-0.774894771925444	0.0
SRSF5	0.26124343147581647	0.0
ESRP2	-0.2091610301202488	0.0
GRN	-0.21638065168671716	0.0
HNRNPH1	-0.11410076393688431	0.0
RBMX	-0.1043683225753078	0.0
MSI1	0.05662917121320063	0.0
FMR1	-0.03537358844344614	0.0
CELF2	-0.06217673353352647	0.0
OAS1	-0.025521006180078437	0.0
SRSF9	0.688902348987729	0.0
HNRNPA0	0.620303082463088	0.0
RBM38	-0.1818294256102138	0.0
ZNF638	1.1304232786195443	0.0
RBM5	1.4889284774421345	0.0
MBNL1	-0.5028471854612713	0.0
PCBP1	0.13380296152172613	0.0
RBM25	-0.767643571604547	0.0
(Intercept)	-15.789238308064846	0.0
