	Estimate	p-value
CPEB2	-1.1694951445288915	0.0
KHDRBS1	-0.7044755345897066	0.0
PPIE	4.007051857288837	0.0
IFIH1	-1.6369141208064595	0.0
PCBP2	2.7561534580812626	0.0
HNRNPM	-2.675928045689142	0.0
TARDBP	-2.139693158305406	0.0
ZFP36L2	0.4228487629955383	0.0
ESRP1	0.6771885524505938	0.0
HNRNPD	-1.4788298411222778	0.0
GRSF1	4.863094846960271	0.0
RBMS3	0.6207904847593128	0.0
IGF2BP2	-0.6214365309669325	0.0
TUT1	0.34552184782175405	0.0
SRP19	0.8907374494415337	0.0
SNRPA	3.665772777877145	0.0
SRP68	0.8405790402021572	0.0
EIF4A3	1.7615907941460638	0.0
RBFOX2	-0.22198734326795855	0.0
ADAR	1.9224900949652053	0.0
RBM42	0.6967147500405222	0.0
CPEB4	1.9552641891997686	0.0
RAVER1	1.925101982840493	0.0
CPEB1	-3.2890733497528695	0.0
DDX19B	2.949414956211189	0.0
SRRM1	0.42662245949080047	0.0
TRA2A	-1.8234553564403877	0.0
ESRP2	-1.6017489572512675	0.0
RALY	-3.3812928440233794	0.0
GRN	-1.1319407923737281	0.0
SNRPB2	-2.8668221610561164	0.0
IGHMBP2	-0.9217830621801439	0.0
RBMX	-6.848343190160926	0.0
DAZAP1	0.3370225097723621	0.0
TRA2B	-8.062673407898892	0.0
NELFE	0.9635402249041263	0.0
FMR1	1.5188898668308883	0.0
ZFP36	-0.18028931250690883	0.0
OAS1	1.2248783770247063	0.0
SRSF3	3.612296445015275	0.0
RBM38	0.40654509480934	0.0
DDX58	-0.1835549543618767	0.0
RBM25	5.681115016510606	0.0
CELF5	-4.260669507166104	0.0
NOVA1	-1.2021181368470766	0.0
PCBP1	0.657984791244204	0.0
(Intercept)	-6.683466986745174	0.0
