	Estimate	p-value
CPEB2	0.26372608927834756	0.0
SRSF7	0.07343564868009214	0.0
CELF1	-1.1183469437183748	0.0
CFTR	0.3297997694751506	0.0
DHX9	2.080017570435937	0.0
SSB	1.3930540227410377	0.0
ACO1	-0.26305048156625976	0.0
ESRP1	0.8786480674523723	0.0
PUM2	0.5679468670620031	0.0
IGF2BP2	-0.37029210609802693	0.0
PABPN1	-0.5853471320153655	0.0
RBM6	-0.34721668041135934	0.0
CSTF2	0.17669753088831192	0.0
ERI1	0.5291864198080934	0.0
TUT1	-0.12842067683194255	0.0
CMTR1	-0.5686408868377061	0.0
YTHDC1	-1.737982668187712	0.0
AKAP1	0.22567537305694338	0.0
XPO5	-0.3348670849612621	0.0
RBMS1	-0.3719820267853626	0.0
ZRANB2	-0.2526825478508611	0.0
RBM3	-0.4998261680596234	0.0
CPEB1	-0.5257062223665434	0.0
FXR1	-0.18522263830128421	0.0
SF1	-0.6883033901400358	0.0
HNRNPDL	-0.7986385809577664	0.0
TIA1	0.7965485237430371	0.0
SRSF5	1.604352430747687	0.0
ESRP2	0.33057247137714496	0.0
U2AF2	-0.2189530672039606	0.0
RBM24	-0.18039819567620685	0.0
ELAVL1	1.1647512947712813	0.0
SNRPB2	-0.7742205021038742	0.0
KHSRP	0.7232899220934624	0.0
MSI1	-0.2109211635641426	0.0
QKI	-0.8439233704688807	0.0
DAZAP1	-0.4793658811898909	0.0
SRSF2	0.6782318692552676	0.0
FMR1	0.277798632534142	0.0
ZFP36	0.15654339765099132	0.0
CELF2	-0.44377677416109323	0.0
OAS1	0.15213326567522187	0.0
SRSF9	0.3714366825841371	0.0
RBM38	0.41969707883937085	0.0
DDX58	-0.03281288033399117	0.0
MBNL1	0.2988802656310926	0.0
CELF5	0.2619997042497901	0.0
PCBP1	-1.6407877323215758	0.0
RBM25	-0.7507522681070051	0.0
(Intercept)	-3.4455699971226488	0.0
