	Estimate	p-value
SRSF7	-1.5033712525595526	0.0
IFIH1	0.29002284602613126	0.0
ZFP36L2	-0.37041936857448216	0.0
ACO1	2.2682694507472467	0.0
G3BP2	1.3906285500609499	0.0
ESRP1	1.1393178141072795	0.0
RBMS3	-0.27585661437761816	0.0
SNRNP70	1.6115887225300862	0.0
AKAP1	-0.138811685509088	0.0
SNRPA	-4.619139090133032	0.0
RBMS1	0.46130004171805256	0.0
FUS	-1.6059338339532265	0.0
RBFOX2	-1.4550688180535114	0.0
RBM3	-0.2307633991506576	0.0
CPEB1	-2.449610543800131	0.0
NOVA2	-0.8257098110231051	0.0
ESRP2	0.9340263037427659	0.0
RALY	2.8153887539953373	0.0
RBM24	0.6095892773643229	0.0
GRN	-0.3659694310101761	0.0
RBM8A	0.8269919079117539	0.0
SNRPB2	0.3715218547576454	0.0
QKI	0.1093718071645908	0.0
TRA2B	-0.053830813104909614	0.0
YBX1	-0.009577606396545285	0.0
ZFP36	0.3513153130290925	0.0
CELF2	-1.456755924694673	0.0
OAS1	0.8643169839145283	0.0
DHX58	2.5531540797268555	0.0
SRSF3	-2.3542415725551247	0.0
DDX58	-1.7049385138354365	0.0
CELF5	-1.6677184118620936	0.0
SFPQ	6.298963411644532	0.0
(Intercept)	-21.494332139369625	0.0
