	Estimate	p-value
ADAR	-0.1763413666820903	0.0
NCL	-0.4075091926319315	0.0
HNRNPM	0.38503144060967487	0.0
HNRNPA3	-0.04233635666079239	0.0
NUDT21	0.03534936841829606	0.0
PCBP1	0.005455440975310422	0.0
RC3H1	0.108936159203085	0.0
SRP54	-0.19496968419675664	0.0
HNRNPU	0.34906155369992653	0.0
HNRNPH3	-0.0846627203187516	0.0
SNRPA	0.23141082010895003	0.0
RBFOX2	-0.3296693287302011	0.0
PHAX	-0.39075791308039376	0.0
CELF1	0.0924414805401522	0.0
SRSF1	-0.5363864741857407	0.0
OAS1	-0.09376851636801475	0.0
KHDRBS1	-0.4056560068829873	0.0
CELF5	-0.1424703731473388	0.0
TUT1	-0.07097650960206976	0.0
EIF4A3	0.14383334182124663	0.0
ESRP1	0.6759152650843575	0.0
RBM24	-0.03241144786825856	0.0
ZCRB1	-0.1085399534823106	0.0
NONO	0.22351959226109364	0.0
CPEB2	0.0035115101692697603	0.0
HNRNPDL	0.25994238678862813	0.0
HNRNPL	-0.25500546213594716	0.0
ELAVL1	0.2560044918923587	0.0
HNRNPK	0.8540052283532323	0.0
CELF2	-0.1608839145604628	0.0
RBMS3	0.019690683948170667	0.0
SNRPB2	-0.1990189241435807	0.0
ZRANB2	0.16030138651810555	0.0
ZFP36L2	0.07562579416162889	0.0
RBM3	-0.012802078176700482	0.0
IGHMBP2	-0.015359077518676989	0.0
CELF4	0.20197949335845852	0.0
PABPC1	-0.45444943511430225	0.0
MSI1	-0.08468060056218271	0.0
SRSF6	-0.10100537690257672	0.0
GRSF1	-0.04671210844360944	0.0
AKAP1	0.2775122641898778	0.0
SRRM1	0.24063296974638787	0.0
KHDRBS3	-0.10121646353776374	0.0
PPIE	0.1357300609423994	0.0
GRN	0.22820873599749508	0.0
DDX58	0.24005142995376721	0.0
PPRC1	0.18442785914955412	0.0
PUM2	-0.3010446447261492	0.0
SNRNP70	-0.2587338571561935	0.0
PCBP2	-0.2444115076863295	0.0
RBM8A	-0.20313213349419942	0.0
ZFP36	0.05771647680321118	0.0
PABPN1	0.2261528605473228	0.0
DDX19B	-0.033805421094246335	0.0
HNRNPH2	-0.16512044279025306	0.0
ESRP2	0.3948677128992971	0.0
SRP19	0.2858680989544989	0.0
HNRNPAB	-0.11213011388382461	0.0
RBMX	0.12949395985854795	0.0
SF1	-0.22012883955018298	0.0
AGO1	-0.3703588345385972	0.0
YBX2	0.18983147313814042	0.0
PABPC4	-0.15157639902695402	0.0
CNOT4	0.23995369321020446	0.0
RALY	-0.11483543226288345	0.0
RBM42	-0.0006100512213809972	0.0
TRA2A	0.3766423221183567	0.0
SF3B1	-0.239884525591465	0.0
SRSF2	-0.3333348945071529	0.0
NXF1	0.13712728807463695	0.0
FUS	-0.12784417724410985	0.0
SRP68	0.06497010662860075	0.0
RAVER1	0.11922257743255578	0.0
IGF2BP2	0.059809019701741906	0.0
FXR1	0.17411409008492063	0.0
HNRNPA0	-0.16701812362656365	0.0
CMTR1	-0.1429462851031012	0.0
SRP14	0.13333189052844874	0.0
TIAL1	-0.06710584185609977	0.0
SRSF3	-0.6799796934315983	0.0
PUM1	0.27899210581867395	0.0
CPEB4	-0.4692051377684132	0.0
SP1	-0.38233405913534474	0.0
SFPQ	0.26350513686616484	0.0
RBM38	-0.21007463827933992	0.0
YTHDC1	-0.5703505346467489	0.0
SF3B4	-0.057985046701680226	0.0
SRSF9	0.09951233747264791	0.0
AGO2	-0.05971357364791291	0.0
CFTR	0.1692458901458218	0.0
RBM5	-0.271728401774839	0.0
QKI	-0.5198544686933546	0.0
SART3	0.19256889500919108	0.0
RBM6	0.16674543412645293	0.0
U2AF2	-0.16507088811268034	0.0
HNRNPC	-0.2623836205254444	0.0
SRSF11	0.12870279460004627	0.0
SRSF7	0.21059569217802573	0.0
TIA1	-0.19292568586517547	0.0
HNRNPA2B1	-0.30174334673646325	0.0
EIF4B	0.5047709216453936	0.0
SSB	0.21196139582819312	0.0
KHSRP	-0.48083997227861974	0.0
RBM14	-0.3638595104295961	0.0
IFIH1	-0.04284778245834664	0.0
HNRNPH1	0.22915216310855613	0.0
HNRNPD	0.012255076210783034	0.0
NOVA2	-0.17838457024892218	0.0
SRSF4	-0.19747202916932893	0.0
YBX1	0.24309496957426288	0.0
HNRNPLL	-0.12629156267479782	0.0
SYNCRIP	0.5240049991751986	0.0
ERI1	0.07630805930777154	0.0
CPEB1	-0.3978675088491122	0.0
FMR1	0.38326841297491265	0.0
NELFE	-0.0724277070081857	0.0
SUPV3L1	-0.268648522496471	0.0
SRSF10	0.2019702042387972	0.0
NOVA1	0.10563062597040739	0.0
FXR2	-0.09920361402297188	0.0
DHX9	0.2694573877668761	0.0
G3BP2	0.3496403785554606	0.0
SAMD4A	0.22001823216643834	0.0
HNRNPA1	0.06391023937632836	0.0
(Intercept)	2.953343503528966	0.0
