	Estimate	p-value
CPEB2	0.7751936668622893	0.0
SF3B4	-0.054235538492676635	0.0
TIAL1	1.6657344322961702	0.0
HNRNPM	0.6169353297078254	0.0
PCBP2	0.5511863932976606	0.0
IFIH1	-0.25222990821232344	0.0
CFTR	0.6082823267259853	0.0
ESRP1	-0.36933507719891107	0.0
G3BP2	-0.12824201529321208	0.0
GRSF1	-1.4712354912869385	0.0
RBMS3	0.23748531943992868	0.0
IGF2BP2	0.0625653058121739	0.0
HNRNPAB	-0.7168693506490096	0.0
TUT1	-0.6828771840235129	0.0
EIF4B	0.005409884404386325	0.0
CMTR1	-0.4242703454135633	0.0
YBX2	-0.8415031489568626	0.0
AKAP1	-0.4677636905508415	0.0
SF3B1	-1.075488992008772	0.0
SYNCRIP	-1.6167308508350633	0.0
XPO5	-0.4328763278132187	0.0
FUS	-1.1139232350928205	0.0
RBFOX2	-0.9643001443136942	0.0
PABPC1	0.5077982394681957	0.0
RBM42	0.32900897127650547	0.0
RBM3	-0.7450580164728973	0.0
TRA2A	-0.1466372068558155	0.0
HNRNPH3	0.14202519702419955	0.0
ESRP2	0.44901016920002973	0.0
CELF4	-0.40188102765932593	0.0
HNRNPA3	1.5736703108394587	0.0
AGO2	1.0511281682957894	0.0
GRN	-0.11144110767412968	0.0
RBM8A	-0.05208882132914451	0.0
SRSF4	-0.5915915194880235	0.0
SRP54	0.8696250116140596	0.0
HNRNPA1	1.620854317232648	0.0
MSI1	0.15510637258410925	0.0
QKI	1.7918284539642153	0.0
NELFE	-0.9318527001256056	0.0
DHX58	-0.03446976213384352	0.0
ZFP36	0.1133790609258934	0.0
OAS1	-0.3929629292885606	0.0
SRSF9	0.9739789397451102	0.0
DDX58	0.8185707360607566	0.0
RBM25	-1.5440626239889184	0.0
(Intercept)	-3.690968815007304	0.0
