	Estimate	p-value
SRP54	0.8732137912638968	0.0
EIF4B	0.2726430174345501	0.0
MSI1	0.577987612854325	0.0
SRSF11	-1.0073545054378046	0.0
CELF2	0.22307140304407652	0.0
CFTR	-0.17515780068126163	0.0
ZFP36L2	0.4587256759180756	0.0
SAMD4A	0.4532004783081376	0.0
ESRP2	-0.24979992523453753	0.0
PCBP1	0.19882871990247114	0.0
RBMS3	-0.5641041272942953	0.0
DDX58	0.38362941776312187	0.0
IGF2BP2	-0.28990407143752134	0.0
FXR2	0.5916682579635791	0.0
KHSRP	0.6282241877200764	0.0
(Intercept)	-14.899235169866817	0.0
