	Estimate	p-value
CPEB2	0.1916241687561522	0.0
KHDRBS1	-0.23570305412023324	0.0
SF3B4	0.6917022537847594	0.0
TIAL1	-1.2566885808743782	0.0
IFIH1	0.41500275124258396	0.0
PCBP2	-0.4387431296896552	0.0
CFTR	-0.094542345899767	0.0
ZFP36L2	-0.9881399190523662	0.0
DHX9	-0.4111743970518645	0.0
HNRNPH2	-1.1568546777016457	0.0
ACO1	0.20103250313358154	0.0
ESRP1	-0.38289079790152614	0.0
GRSF1	-0.4307293759115787	0.0
RBMS3	-0.0980927514946184	0.0
SNRNP70	-0.5608193077186883	0.0
PABPN1	0.5352116371574243	0.0
RBM6	-1.2751108407298477	0.0
HNRNPAB	1.2507388293974255	0.0
ERI1	0.611779430988923	0.0
TUT1	0.8359950686611938	0.0
EIF4B	-0.7351994574154816	0.0
SRP19	1.2309999142172692	0.0
YBX2	0.12073140783678021	0.0
SNRPA	0.48637996028369185	0.0
PHAX	0.5127200833733719	0.0
RBMS1	1.1953490013952315	0.0
G3BP1	0.5859055909977118	0.0
PABPC1	-0.7342869106222193	0.0
HNRNPLL	-1.2040715096485424	0.0
CPEB4	-0.3780739802063393	0.0
RBM3	-0.6733307532132111	0.0
CPEB1	-0.33440564990000626	0.0
HNRNPDL	-0.6899225683396241	0.0
TRA2A	0.36697729395969503	0.0
TIA1	0.564383051959441	0.0
CELF4	-0.8702840689063215	0.0
AGO2	-0.7938481757337034	0.0
SUPV3L1	-0.6434099707108558	0.0
GRN	-0.9689412838744696	0.0
HNRNPL	-0.8604447455291192	0.0
SRSF4	0.8016927115302283	0.0
FXR2	-1.2588595867492314	0.0
SNRPB2	-0.4304070122260591	0.0
IGHMBP2	-0.26596060395567034	0.0
PPRC1	-0.021939839954900568	0.0
PABPC4	-0.31818151042624443	0.0
NELFE	0.44248764351685976	0.0
FMR1	-0.669662919063528	0.0
ZFP36	0.11498779965469304	0.0
CELF2	-0.011934785549299262	0.0
OAS1	-0.14096941449194159	0.0
DDX58	-0.6567045083207336	0.0
CELF5	1.0498080661414533	0.0
NOVA1	0.8617558219743039	0.0
SFPQ	0.7973876414283552	0.0
(Intercept)	31.229299655710214	0.0
