	Estimate	p-value
CPEB2	-0.29014470049395885	0.0
SF3B4	1.0138557386195508	0.0
IFIH1	0.21706848266851275	0.0
PCBP2	-1.8677714987073286	0.0
TARDBP	1.9633264634967285	0.0
CFTR	0.3019284896335017	0.0
ZFP36L2	-0.49635858154311074	0.0
HNRNPH2	-0.6121942423795808	0.0
NONO	-1.0148647407473166	0.0
ACO1	-2.0900415471879574	0.0
PUM1	0.1557649215063479	0.0
KHDRBS3	-1.0120642436350211	0.0
IGF2BP2	-0.6061508437701797	0.0
SNRNP70	0.3686163572658361	0.0
SRSF6	-0.309293169472189	0.0
RBM6	1.2276173387327507	0.0
HNRNPAB	-1.1158189479952398	0.0
TUT1	-0.08345503477721214	0.0
EIF4B	-0.20124846347212832	0.0
SRP19	0.14027294220904674	0.0
CMTR1	1.4335259106713447	0.0
YTHDC1	-1.2685373706369996	0.0
AKAP1	-0.529024329290513	0.0
SNRPA	-0.4371079903852848	0.0
SYNCRIP	0.7525852776035853	0.0
SAMD4A	0.08088056735009252	0.0
XPO5	0.07660507787312953	0.0
NCL	0.45390506862705504	0.0
RBMS1	0.4709916679888685	0.0
SRP68	-0.18484467541045135	0.0
FUS	-0.6580033725227656	0.0
PABPC1	0.2841265315183069	0.0
HNRNPU	-2.1655732038275213	0.0
RBM42	-0.056817825132620514	0.0
SRP14	-0.02798489313187602	0.0
RBM3	0.17909736892624575	0.0
FXR1	-0.35072387736188915	0.0
HNRNPC	0.44761143320070396	0.0
TIA1	0.6956066104734066	0.0
ESRP2	0.11242141831483443	0.0
CNOT4	-1.7806544014352403	0.0
HNRNPA3	-0.533866099996917	0.0
RALY	-0.27006537515369344	0.0
HNRNPF	0.4207077575205683	0.0
ELAVL1	-1.4168541183582577	0.0
RC3H1	-1.4632110236639133	0.0
RBM8A	-0.6936753983691148	0.0
SRSF4	-1.4349011007338448	0.0
FXR2	0.6764584253219748	0.0
KHSRP	2.6544558137383993	0.0
HNRNPH1	-1.2288381243640862	0.0
IGHMBP2	-1.5688145334738575	0.0
SRP54	2.2688343212507682	0.0
HNRNPA1	0.773052917702067	0.0
MSI1	0.43391574348093753	0.0
QKI	-0.1320409107188879	0.0
PABPC4	-0.021008893010091678	0.0
CELF2	0.5859051557297679	0.0
ZFP36	0.34188226753770706	0.0
DHX58	-0.8444020156046804	0.0
OAS1	0.5030580543895364	0.0
PTBP1	0.6105541584271896	0.0
HNRNPA0	0.9584558175154347	0.0
ZNF638	0.6987816590037788	0.0
RBM5	-0.6658789644735803	0.0
MBNL1	1.565635568535117	0.0
NOVA1	-3.297022866396936	0.0
SSB	-1.18134294973356	0.0
RBM25	-1.4108645288721757	0.0
(Intercept)	15.049179130030733	0.0
