	Estimate	p-value
CPEB2	-0.08852261481156483	0.0
SRSF7	0.044546612810469705	0.0
IFIH1	-0.41108367826836234	0.0
PCBP2	-1.3153301036841136	0.0
CFTR	0.23300991524667203	0.0
ZFP36L2	0.459328128529667	0.0
RBMS3	0.4188357685426052	0.0
SRSF1	0.6834274912217561	0.0
NUDT21	-0.4865095255078906	0.0
TUT1	-0.9277441878680128	0.0
SRP19	0.8697445010854996	0.0
YBX2	0.833764023237217	0.0
EIF4A3	-0.18394457960147523	0.0
HNRNPU	0.32199592043217184	0.0
SART3	1.3726407450448943	0.0
ZRANB2	0.043824662789750835	0.0
RAVER1	-1.620700418948941	0.0
ZCRB1	0.49843916951903944	0.0
RBM3	-0.7107896480216194	0.0
FXR1	0.20765033311469427	0.0
SF1	0.614663978799413	0.0
TRA2A	1.0195969303091932	0.0
SRSF5	-0.6516124255259712	0.0
CELF4	0.11047885741279723	0.0
HNRNPA3	-0.4548195970542429	0.0
SUPV3L1	-0.9818078441450819	0.0
SRSF4	0.969399438415395	0.0
KHSRP	0.05875092487150807	0.0
FXR2	0.16777415062232948	0.0
SNRPB2	-0.16444013203619756	0.0
FMR1	-0.1208657848361161	0.0
ZFP36	0.22201792314133645	0.0
YBX1	-0.4943902016496984	0.0
RBM38	0.29836438447269165	0.0
SFPQ	-0.15860891290426382	0.0
SP1	-0.3725067162956458	0.0
TIAL1	0.3657631138740939	0.0
DHX9	0.7533517984665037	0.0
SRSF6	0.7772866932775103	0.0
CSTF2	-0.15129726523457604	0.0
CMTR1	0.6228846377826698	0.0
SAMD4A	-0.18215618570263264	0.0
XPO5	0.533139467835076	0.0
RBFOX2	0.5307057704093984	0.0
ADAR	1.223215819135803	0.0
HNRNPLL	-0.1961222738307563	0.0
RBM42	-0.9843403314387744	0.0
RBM14	0.9706932191207859	0.0
AGO1	0.2745931797559001	0.0
CNOT4	-0.9195740616177487	0.0
ELAVL1	-0.8093340980226569	0.0
RBM8A	-0.32114040840622815	0.0
RBMX	-0.013511806698752918	0.0
QKI	-0.09117703075015007	0.0
SRSF2	0.5144973986564166	0.0
CELF2	0.09641720328416514	0.0
HNRNPA0	-1.4666290582782346	0.0
RBM25	-0.8691052614449485	0.0
NOVA1	0.39794581837781484	0.0
SSB	0.017001069446977712	0.0
PCBP1	0.1287967082663003	0.0
SF3B4	0.23681172500554853	0.0
PPIE	0.3566781731800093	0.0
HNRNPM	1.4344992857089973	0.0
TARDBP	-1.327734483430993	0.0
NONO	-0.4214948553467582	0.0
PUM1	-0.5699289858938054	0.0
GRSF1	-1.3224601879508506	0.0
ESRP1	0.13635021007031192	0.0
PABPN1	0.5614654639384291	0.0
SRSF10	-2.1433923183484027	0.0
ERI1	0.7510709409005774	0.0
EIF4B	-0.7213356295924528	0.0
AKAP1	-0.5593854268576366	0.0
SNRPA	1.117824413897672	0.0
SYNCRIP	0.44509690147955383	0.0
PHAX	0.1360123839519093	0.0
SRP68	0.1221583077615314	0.0
FUS	-1.4203154332443928	0.0
SRRM1	0.3765719766157263	0.0
SRP14	0.051018648477080375	0.0
NOVA2	0.39166876027790026	0.0
HNRNPDL	1.0368728568046637	0.0
TIA1	0.722131465726162	0.0
HNRNPH3	-0.17929444703729652	0.0
AGO2	-0.020474162270805785	0.0
GRN	0.03696294663364201	0.0
HNRNPL	-1.0774430123943701	0.0
RC3H1	0.7477898789770385	0.0
SRP54	-0.4953958419566791	0.0
HNRNPA1	1.4533327236633151	0.0
DAZAP1	0.6877894869577422	0.0
NELFE	-1.540601194380078	0.0
OAS1	0.30422773047543195	0.0
PTBP1	-0.397784246496905	0.0
SRSF9	0.45877699904632	0.0
MBNL1	0.36794371205493326	0.0
CELF1	0.19862400701028757	0.0
HNRNPH2	0.17982329473188596	0.0
ACO1	-0.0007240043442207356	0.0
G3BP2	0.7430506745903958	0.0
HNRNPD	-1.1201659230297274	0.0
KHDRBS3	-0.33833836500826936	0.0
HNRNPA2B1	-1.2292243148979498	0.0
IGF2BP2	0.2569899754871041	0.0
HNRNPAB	0.9485356482906651	0.0
NCL	0.24136378564995425	0.0
RBMS1	0.231635106471281	0.0
G3BP1	-0.24301375529469715	0.0
NXF1	-0.08482584448779443	0.0
PABPC1	0.147416228678599	0.0
CPEB4	0.19696507636808125	0.0
DDX19B	0.15280293665897673	0.0
HNRNPC	1.4882887816844255	0.0
SRSF11	-0.4799861023953978	0.0
ESRP2	-0.6610904676130985	0.0
U2AF2	0.9213492802555389	0.0
RALY	0.5995941142493638	0.0
HNRNPF	-0.6260475103250996	0.0
RBM24	0.06342278634409015	0.0
IGHMBP2	0.3386284609708234	0.0
MSI1	0.23182784326155392	0.0
PABPC4	-0.16444115990928554	0.0
HNRNPK	-0.32494320746568045	0.0
DHX58	-0.27732032995338785	0.0
ZNF638	-1.3428185255273983	0.0
RBM5	-0.6768693785548715	0.0
(Intercept)	-8.915443815889265	0.0
