	Estimate	p-value
CPEB2	-0.2662791411448862	0.0
KHDRBS1	2.304254908959939	0.0
SF3B4	-0.5857454311173889	0.0
SRSF7	0.29785116531848843	0.0
PPIE	-0.70149172987098	0.0
CFTR	0.3173676819343075	0.0
ZFP36L2	0.02141042549341643	0.0
DHX9	0.3107090100644587	0.0
ACO1	-0.05592711316508883	0.0
ESRP1	-0.7067036878122817	0.0
G3BP2	-1.308272221308381	0.0
KHDRBS3	-0.5729097422387431	0.0
SNRNP70	-0.8792198279526284	0.0
SRSF6	1.0663062354880468	0.0
CSTF2	0.7489584683919488	0.0
SYNCRIP	-0.8355377030153446	0.0
XPO5	-1.3780094148351947	0.0
RBMS1	0.7441757796741861	0.0
EIF4A3	0.13732059365616958	0.0
ADAR	1.7526050450971105	0.0
SART3	-0.9755857548485785	0.0
HNRNPU	4.175096501000738	0.0
RBM42	-0.1989468735413198	0.0
CPEB4	-1.0751338417594405	0.0
RAVER1	-0.7987904532427984	0.0
ZCRB1	-0.7065521356197855	0.0
RBM3	0.05131459257708218	0.0
SRRM1	-0.40202242351333745	0.0
TIA1	0.06416183297474659	0.0
ESRP2	0.4504628137424084	0.0
CELF4	-1.2895779158213074	0.0
CNOT4	-1.436430825707677	0.0
HNRNPF	-0.4720523483982553	0.0
MSI1	-0.28223664362528567	0.0
PPRC1	0.659221207671204	0.0
QKI	0.4751342122026578	0.0
CELF2	-0.27405503748406845	0.0
OAS1	-0.31596917688007653	0.0
HNRNPA0	-2.2477136409415066	0.0
RBM38	-0.34069772541857457	0.0
SSB	-0.3387842426394985	0.0
(Intercept)	-7.391301013039241	0.0
