	Estimate	p-value
CPEB2	-0.5739609803867601	0.0
SRSF7	0.35525320520140946	0.0
PCBP2	-1.8970382050085188	0.0
ZFP36L2	-0.7834056705359611	0.0
RBMS3	-0.511772940651931	0.0
NUDT21	1.1544819356165128	0.0
RBM6	1.0132015129748084	0.0
SRP19	3.0000951981653694	0.0
YBX2	0.09601324173576548	0.0
EIF4A3	-0.33664410153434177	0.0
HNRNPU	-0.3721357182637402	0.0
ZRANB2	-2.685199481653891	0.0
RAVER1	-1.9874894333433577	0.0
ZCRB1	-0.2385625755698042	0.0
RBM3	-0.8930349852603628	0.0
CELF4	-0.2951963209667689	0.0
SUPV3L1	-2.4438486568421576	0.0
FXR2	-0.07377769387068434	0.0
KHSRP	4.550179965804711	0.0
PPRC1	-0.042313684642143135	0.0
YBX1	-0.1633599643776531	0.0
ZFP36	0.2539141551885239	0.0
SRSF3	-1.3383109500730983	0.0
RBM38	0.020590445756491826	0.0
SFPQ	-1.4475082059891546	0.0
TIAL1	-4.01896155826883	0.0
DHX9	-1.2779905700997771	0.0
SRSF6	-0.5726044683231657	0.0
CSTF2	3.7846620753752367	0.0
SAMD4A	0.4368897939365368	0.0
XPO5	-4.3237425462543975	0.0
RBFOX2	-2.0535771874121607	0.0
ADAR	0.8817625027389977	0.0
HNRNPLL	1.3589814649339516	0.0
RBM42	0.8044534916154069	0.0
CPEB1	-0.19450532793616881	0.0
CNOT4	2.19562734380092	0.0
ELAVL1	0.48054167387413504	0.0
RBM8A	1.3138787458326573	0.0
QKI	0.33403132982444467	0.0
SRSF2	1.0505142242964203	0.0
CELF2	0.05818000174118376	0.0
HNRNPA0	-3.9635752067368464	0.0
RBM25	-2.7099023257880366	0.0
NOVA1	-0.08455245380560727	0.0
SSB	-3.172474916160859	0.0
PCBP1	1.5790836865266271	0.0
SF3B4	-2.2517246061155274	0.0
HNRNPM	0.4691740909448914	0.0
TARDBP	2.906681251017837	0.0
NONO	1.9096117082832837	0.0
PUM1	1.5191974917806923	0.0
GRSF1	4.698065872622449	0.0
PABPN1	-2.117496135936755	0.0
SRSF10	-3.55955361089471	0.0
ERI1	0.46638325567937433	0.0
EIF4B	1.6685229774571906	0.0
AKAP1	-2.154774032286014	0.0
SYNCRIP	2.0002018831043724	0.0
SRP68	-1.5987719523899997	0.0
SRRM1	0.6646132137429881	0.0
NOVA2	-0.5922946003189578	0.0
HNRNPDL	4.134887838772672	0.0
HNRNPH3	2.5303783532964443	0.0
GRN	0.4657380572199003	0.0
HNRNPL	2.697384580574924	0.0
RC3H1	1.568112084596638	0.0
SRP54	-3.212886894375423	0.0
HNRNPA1	-2.8304446146250486	0.0
DAZAP1	-2.6648124690950743	0.0
NELFE	2.2294312571931982	0.0
OAS1	-1.0529313078486409	0.0
PTBP1	-2.3208680634655208	0.0
MBNL1	-0.82245247033901	0.0
CELF1	1.013919452308794	0.0
HNRNPH2	-2.3480424427600894	0.0
ACO1	0.4763511593866676	0.0
G3BP2	-1.9101947709124016	0.0
HNRNPD	-1.8923117543896024	0.0
IGF2BP2	0.6041214639557063	0.0
HNRNPAB	0.3782553102899847	0.0
YTHDC1	-4.732163003501611	0.0
RBMS1	1.967310374009232	0.0
G3BP1	1.7827487103555058	0.0
NXF1	0.7186406168796462	0.0
CPEB4	0.9085634353874825	0.0
SRSF11	3.4563099719933765	0.0
ESRP2	0.7974164445733933	0.0
U2AF2	3.406383954776782	0.0
HNRNPF	-0.41191681426544635	0.0
HNRNPH1	2.3316906687572425	0.0
IGHMBP2	-0.40225160555237144	0.0
MSI1	-0.2091054293150586	0.0
TRA2B	3.0956097425666833	0.0
DHX58	0.469829527485067	0.0
CELF5	2.5367647883999926	0.0
(Intercept)	-13.340738019986384	0.0
