	Estimate	p-value
ZFP36L2	-2.040700942874178	0.0
NONO	0.2568871149494185	0.0
ACO1	0.960736749782672	0.0
G3BP2	-0.06305694842048287	0.0
RBMS3	-1.5365073138977416	0.0
KHDRBS3	0.7143111910505568	0.0
HNRNPA2B1	-0.7043476363160537	0.0
IGF2BP2	-0.2031938237688842	0.0
SNRNP70	0.26540215206343193	0.0
PABPN1	-2.2420191813820867	0.0
RBM6	-0.05111847604852482	0.0
HNRNPAB	2.707505163912808	0.0
EIF4B	0.8877902212150789	0.0
YBX2	-0.10218554334477786	0.0
AKAP1	-3.9033796485038446	0.0
SAMD4A	0.8801547649384374	0.0
XPO5	-2.99778875278164	0.0
SRP68	5.3581092790340215	0.0
ZRANB2	3.158345341112441	0.0
RBM3	1.407703888072597	0.0
HNRNPDL	-0.861739351760767	0.0
AGO1	0.6890014713159384	0.0
RC3H1	-1.102552484852132	0.0
HNRNPL	-5.618271441918849	0.0
SNRPB2	-2.9608196854073254	0.0
KHSRP	-1.635541586980431	0.0
HNRNPH1	1.6348569545029368	0.0
SRP54	-6.90228219008274	0.0
RBMX	4.9807369985941525	0.0
NELFE	1.5610928959372834	0.0
FMR1	0.5937068840778732	0.0
ZFP36	1.0230219566824954	0.0
CELF2	-0.6224963131599414	0.0
OAS1	0.6206226258609566	0.0
RBM38	1.4140387954254423	0.0
DDX58	0.21594386188102677	0.0
MBNL1	3.6972218000480983	0.0
(Intercept)	-15.530822478422289	0.0
