	Estimate	p-value
ADAR	-2.6364962919323434	0.0
NCL	-3.6246451780369715	0.0
HNRNPM	1.7720416867491717	0.0
HNRNPA3	-0.7031973657179186	0.0
PCBP1	0.10561366979373932	0.0
SRP54	-1.952146155753554	0.0
HNRNPH3	-7.558537753280865	0.0
RBMS1	1.0719948082145982	0.0
SNRPA	-2.960269176546171	0.0
SRSF5	3.530064919426521	0.0
RBFOX2	1.4453563499298703	0.0
PHAX	1.9158000050129091	0.0
CELF1	-0.08856667533884388	0.0
SRSF1	-4.020847778211911	0.0
OAS1	-1.468853509508524	0.0
KHDRBS1	2.2539566025208	0.0
TUT1	1.4788250695013194	0.0
EIF4A3	1.2918617378597013	0.0
ESRP1	-2.0591293357678664	0.0
ZCRB1	-1.889879577755329	0.0
NONO	3.5795505042283926	0.0
CPEB2	2.5395989163750037	0.0
HNRNPDL	-4.999653330387435	0.0
HNRNPL	3.7520061982759856	0.0
ELAVL1	-0.1921619370779335	0.0
HNRNPK	-2.93845843695228	0.0
CELF2	-0.09365885152307468	0.0
RBMS3	-0.9514704164470663	0.0
SNRPB2	-2.608945420136579	0.0
ZRANB2	4.910015129484386	0.0
XPO5	0.16127476123014034	0.0
TARDBP	4.869269768485625	0.0
DHX58	1.9419010624332478	0.0
CSTF2	-1.210782075480747	0.0
ZFP36L2	0.6644496516205518	0.0
RBM3	1.1223249598320697	0.0
IGHMBP2	-1.8989471571206433	0.0
PABPC1	2.2532125847638085	0.0
MSI1	-0.8202035998239685	0.0
SRSF6	-1.1122542924952623	0.0
GRSF1	-8.320832025853358	0.0
AKAP1	1.7590209744549508	0.0
HNRNPF	0.9077204683683919	0.0
SRRM1	-2.2577202706193487	0.0
KHDRBS3	0.6078179154465606	0.0
PPIE	-1.9430429644663114	0.0
GRN	0.06592582656737234	0.0
DDX58	1.4489504629768832	0.0
PUM2	4.450600329477627	0.0
RBM8A	1.8664010412162437	0.0
ZFP36	-0.6003935496045969	0.0
PABPN1	2.207142911798399	0.0
DDX19B	4.693184542616198	0.0
HNRNPH2	3.1910074860526083	0.0
ESRP2	1.2923130793291013	0.0
SRP19	-0.28166048053550263	0.0
HNRNPAB	0.6096210128479729	0.0
RBMX	11.018334427284579	0.0
SF1	1.7658004486313683	0.0
YBX2	-0.1131454001980654	0.0
SF3B1	-0.07814272979553438	0.0
SRSF2	-1.1125676082974514	0.0
NXF1	-2.763098563306405	0.0
FUS	-3.0983103577137667	0.0
SRP68	-0.5640401647083617	0.0
RAVER1	-1.0077481936731651	0.0
IGF2BP2	0.6469079997729241	0.0
FXR1	-0.31603342716734284	0.0
HNRNPA0	-1.8797406733169975	0.0
SRP14	-2.9363172672209306	0.0
CMTR1	1.6816858313466028	0.0
TIAL1	-0.7737914347239145	0.0
SRSF3	-5.339134895446652	0.0
G3BP1	-10.604689561585866	0.0
PUM1	-6.171365047009353	0.0
CPEB4	1.652584532105898	0.0
SP1	2.860500134832267	0.0
MBNL1	-2.123021137434931	0.0
RBM38	1.5554731767436918	0.0
YTHDC1	0.5827068882146389	0.0
SF3B4	-3.0200647414151924	0.0
SRSF9	3.700469829566159	0.0
TRA2B	0.7740262614813076	0.0
AGO2	0.7222885148095406	0.0
CFTR	0.45846632167711565	0.0
QKI	-1.5855911149522492	0.0
SART3	-2.673332914119835	0.0
RBM6	-0.10512079551258058	0.0
U2AF2	4.666144815995473	0.0
HNRNPC	2.800312539787094	0.0
SRSF11	1.6402290063533722	0.0
SRSF7	2.7184726419218395	0.0
TIA1	-2.1817753147635592	0.0
HNRNPA2B1	-0.41475088400355803	0.0
ACO1	0.38022190471348116	0.0
EIF4B	-1.0294477224827145	0.0
KHSRP	-0.14483233044469013	0.0
RBM14	-0.7339366317774128	0.0
IFIH1	0.5167383877788183	0.0
HNRNPH1	1.0775430653975189	0.0
HNRNPD	10.295835153556567	0.0
NOVA2	-1.4613554867256826	0.0
YBX1	0.03468770784618014	0.0
HNRNPLL	1.4068758964319588	0.0
SYNCRIP	-0.7170997773973138	0.0
ERI1	1.8845788891129174	0.0
CPEB1	-0.014291461960633578	0.0
FMR1	-1.2740213150387052	0.0
SRSF10	0.10216421760192676	0.0
NOVA1	-3.4262071472126907	0.0
DHX9	2.0729392408804275	0.0
FXR2	0.2859654234940079	0.0
G3BP2	4.047537186809334	0.0
SAMD4A	1.2799568085552706	0.0
HNRNPA1	-4.03255745319803	0.0
(Intercept)	-20.555973985933466	0.0
