	Estimate	p-value
IFIH1	1.2147550566289775	0.0
HNRNPH2	-0.5844066634578899	0.0
NONO	3.381621730794586	0.0
ESRP1	0.4587258072660775	0.0
RBMS3	-0.24092350298068052	0.0
IGF2BP2	-0.18285175939347503	0.0
YBX2	0.759574699629769	0.0
ADAR	-0.2223121862745756	0.0
RBM42	0.3122639894441067	0.0
RBM3	0.026074656043952232	0.0
FXR1	-0.9114839316057705	0.0
TRA2A	0.8757645245715949	0.0
ESRP2	0.38930581549615395	0.0
HNRNPF	1.24502053983901	0.0
RBM24	0.3365317219069346	0.0
MSI1	-0.16896614306687585	0.0
NELFE	-0.716407543300637	0.0
OAS1	0.48241031060439266	0.0
RBM5	-0.4123507522464028	0.0
DDX58	-1.6284434070800495	0.0
(Intercept)	-28.512887411617243	0.0
