	Estimate	p-value
CPEB2	0.44960826188138053	0.0
CFTR	0.197342933225579	0.0
HNRNPH2	0.5826289776169509	0.0
NONO	0.02413602523420734	0.0
ACO1	0.199855276772875	0.0
ESRP1	0.24092857275942314	0.0
GRSF1	0.017096845936079776	0.0
RBMS3	0.14954083154847178	0.0
SNRNP70	-0.198568197361252	0.0
CSTF2	-0.24344540848165544	0.0
ERI1	0.24638262180539894	0.0
CMTR1	0.2809096286672237	0.0
AKAP1	0.5352485673425391	0.0
NCL	0.32122125535236973	0.0
SAMD4A	-0.19645671556479646	0.0
RBMS1	-0.5646123679602117	0.0
RBFOX2	-0.5281725538936668	0.0
SART3	0.9514288446349156	0.0
RAVER1	0.021681253586182354	0.0
AGO2	-0.1055565869485946	0.0
HNRNPF	-0.6593821947843211	0.0
RBM8A	-0.6283854141540228	0.0
FXR2	0.07754151616147308	0.0
KHSRP	0.33958513849761596	0.0
HNRNPH1	-0.7075615387663391	0.0
IGHMBP2	-0.11088516638837516	0.0
SRP54	0.08651925083079418	0.0
MSI1	-0.04463747325542741	0.0
QKI	0.39685296418342264	0.0
PABPC4	0.05763401960220451	0.0
NELFE	0.18994187627483847	0.0
FMR1	0.5088449334148999	0.0
ZFP36	-0.11915411745930218	0.0
CELF2	-0.36805297503609313	0.0
OAS1	-0.26684043744547364	0.0
DHX58	0.2972037156628871	0.0
SRSF9	0.022731607119760987	0.0
SP1	-0.3051256182362318	0.0
(Intercept)	-2.410788382346177	0.0
